sample_id	platform_id	Type	treatment	control_treatment	Compound name	Total kidney weight
#					string	numerical
test003017273010	Rat230_2	mRNA	tunicamycin|3 hr|Low	tunicamycin|3 hr|Control	tunicamycin	1.83
test003017273011	Rat230_2	mRNA	tunicamycin|3 hr|Low	tunicamycin|3 hr|Control	tunicamycin	2.16
test003017273012	Rat230_2	mRNA	tunicamycin|3 hr|Low	tunicamycin|3 hr|Control	tunicamycin	1.77
test003017273019	Rat230_2	mRNA	tunicamycin|6 hr|Control	tunicamycin|6 hr|Control	tunicamycin	1.94
test003017273020	Rat230_2	mRNA	tunicamycin|6 hr|Control	tunicamycin|6 hr|Control	tunicamycin	2.04
test003017273021	Rat230_2	mRNA	tunicamycin|6 hr|Control	tunicamycin|6 hr|Control	tunicamycin	2.06
test003017276019	Rat230_2	mRNA	tunicamycin|9 hr|Control	tunicamycin|9 hr|Control	tunicamycin	2.04
test003017276020	Rat230_2	mRNA	tunicamycin|9 hr|Control	tunicamycin|9 hr|Control	tunicamycin	1.76
test003017276021	Rat230_2	mRNA	tunicamycin|9 hr|Control	tunicamycin|9 hr|Control	tunicamycin	2.08
test003017277026	Rat230_2	mRNA	tunicamycin|24 hr|Control	tunicamycin|24 hr|Control	tunicamycin	2.07
test003017277027	Rat230_2	mRNA	tunicamycin|24 hr|Control	tunicamycin|24 hr|Control	tunicamycin	2.01
test003017277028	Rat230_2	mRNA	tunicamycin|24 hr|Control	tunicamycin|24 hr|Control	tunicamycin	2.16
test003017273022	Rat230_2	mRNA	tunicamycin|6 hr|Low	tunicamycin|6 hr|Control	tunicamycin	2
test003017273023	Rat230_2	mRNA	tunicamycin|6 hr|Low	tunicamycin|6 hr|Control	tunicamycin	1.9
test003017273024	Rat230_2	mRNA	tunicamycin|6 hr|Low	tunicamycin|6 hr|Control	tunicamycin	2
test003017276022	Rat230_2	mRNA	tunicamycin|9 hr|Low	tunicamycin|9 hr|Control	tunicamycin	2.12
test003017276023	Rat230_2	mRNA	tunicamycin|9 hr|Low	tunicamycin|9 hr|Control	tunicamycin	1.93
test003017276024	Rat230_2	mRNA	tunicamycin|9 hr|Low	tunicamycin|9 hr|Control	tunicamycin	2.03
test003017277029	Rat230_2	mRNA	tunicamycin|24 hr|Low	tunicamycin|24 hr|Control	tunicamycin	2.23
test003017277030	Rat230_2	mRNA	tunicamycin|24 hr|Low	tunicamycin|24 hr|Control	tunicamycin	2.06
test003017278001	Rat230_2	mRNA	tunicamycin|24 hr|Low	tunicamycin|24 hr|Control	tunicamycin	2.06
test003017273013	Rat230_2	mRNA	tunicamycin|3 hr|Middle	tunicamycin|3 hr|Control	tunicamycin	1.85
test003017273014	Rat230_2	mRNA	tunicamycin|3 hr|Middle	tunicamycin|3 hr|Control	tunicamycin	1.83
test003017273015	Rat230_2	mRNA	tunicamycin|3 hr|Middle	tunicamycin|3 hr|Control	tunicamycin	1.95
test003017273025	Rat230_2	mRNA	tunicamycin|6 hr|Middle	tunicamycin|6 hr|Control	tunicamycin	1.72
test003017273026	Rat230_2	mRNA	tunicamycin|6 hr|Middle	tunicamycin|6 hr|Control	tunicamycin	1.93
test003017273027	Rat230_2	mRNA	tunicamycin|6 hr|Middle	tunicamycin|6 hr|Control	tunicamycin	1.83
test003017276025	Rat230_2	mRNA	tunicamycin|9 hr|Middle	tunicamycin|9 hr|Control	tunicamycin	1.88
test003017276026	Rat230_2	mRNA	tunicamycin|9 hr|Middle	tunicamycin|9 hr|Control	tunicamycin	1.94
test003017276027	Rat230_2	mRNA	tunicamycin|9 hr|Middle	tunicamycin|9 hr|Control	tunicamycin	1.95
test003017278002	Rat230_2	mRNA	tunicamycin|24 hr|Middle	tunicamycin|24 hr|Control	tunicamycin	2.01
test003017278003	Rat230_2	mRNA	tunicamycin|24 hr|Middle	tunicamycin|24 hr|Control	tunicamycin	1.85
test003017278004	Rat230_2	mRNA	tunicamycin|24 hr|Middle	tunicamycin|24 hr|Control	tunicamycin	1.81
test003017273016	Rat230_2	mRNA	tunicamycin|3 hr|High	tunicamycin|3 hr|Control	tunicamycin	2.07
test003017273017	Rat230_2	mRNA	tunicamycin|3 hr|High	tunicamycin|3 hr|Control	tunicamycin	2.06
test003017273018	Rat230_2	mRNA	tunicamycin|3 hr|High	tunicamycin|3 hr|Control	tunicamycin	2.04
test003017273028	Rat230_2	mRNA	tunicamycin|6 hr|High	tunicamycin|6 hr|Control	tunicamycin	2.04
test003017273029	Rat230_2	mRNA	tunicamycin|6 hr|High	tunicamycin|6 hr|Control	tunicamycin	1.91
test003017273030	Rat230_2	mRNA	tunicamycin|6 hr|High	tunicamycin|6 hr|Control	tunicamycin	2.07
test003017276028	Rat230_2	mRNA	tunicamycin|9 hr|High	tunicamycin|9 hr|Control	tunicamycin	1.87
test003017276029	Rat230_2	mRNA	tunicamycin|9 hr|High	tunicamycin|9 hr|Control	tunicamycin	1.91
test003017276030	Rat230_2	mRNA	tunicamycin|9 hr|High	tunicamycin|9 hr|Control	tunicamycin	2
test003017278005	Rat230_2	mRNA	tunicamycin|24 hr|High	tunicamycin|24 hr|Control	tunicamycin	1.98
test003017278006	Rat230_2	mRNA	tunicamycin|24 hr|High	tunicamycin|24 hr|Control	tunicamycin	1.81
test003017278007	Rat230_2	mRNA	tunicamycin|24 hr|High	tunicamycin|24 hr|Control	tunicamycin	1.88
test003017271018	Rat230_2	mRNA	tunicamycin|3 hr|Control	tunicamycin|3 hr|Control	tunicamycin	1.88
test003017273008	Rat230_2	mRNA	tunicamycin|3 hr|Control	tunicamycin|3 hr|Control	tunicamycin	1.88
test003017273009	Rat230_2	mRNA	tunicamycin|3 hr|Control	tunicamycin|3 hr|Control	tunicamycin	1.88
